,method,time,R2,MAE
0,OP_LN,0.0080,0.8824,453.93
1,OP_DTR,0.02286,0.8954,372.45
2,OP_RFR,0.9293,0.9546,254.99
3,OP_SVM,0.5717,-0.011,1289.81
4,OP_KNN,0.0239,0.8623,489.56
