,precipitacion,Campaña,mes,Cultivo,idProvincia,idDepartamento,Sup_Sembrada,Sup_Cosechada,Producción,Rendimiento
29,56.2,1987/88,1.0,Alpiste,6,462,50,50.0,50.0,1000.0
30,56.2,1987/88,1.0,Alpiste,6,469,170,160.0,190.0,1188.0
39,56.2,1987/88,1.0,Alpiste,6,686,400,400.0,480.0,1200.0
70,56.2,1987/88,1.0,Avena,6,210,2200,0.0,0.0,0.0
100,56.2,1987/88,1.0,Avena,6,413,3500,300.0,600.0,2000.0
104,56.2,1987/88,1.0,Avena,6,462,5500,0.0,0.0,0.0
105,56.2,1987/88,1.0,Avena,6,469,16500,3000.0,4500.0,1500.0
128,56.2,1987/88,1.0,Avena,6,686,1600,200.0,440.0,2200.0
133,56.2,1987/88,1.0,Avena,6,714,1200,200.0,400.0,2000.0
168,56.2,1987/88,1.0,Cebada cervecera,6,469,1200,1200.0,2280.0,1900.0
185,56.2,1987/88,1.0,Cebada forrajera,6,210,300,0.0,0.0,0.0
199,56.2,1987/88,1.0,Cebada forrajera,6,413,200,0.0,0.0,0.0
201,56.2,1987/88,1.0,Cebada forrajera,6,462,1800,0.0,0.0,0.0
209,56.2,1987/88,1.0,Cebada forrajera,6,686,300,0.0,0.0,0.0
212,56.2,1987/88,1.0,Cebada forrajera,6,714,300,0.0,0.0,0.0
243,56.2,1987/88,1.0,Girasol,6,210,1000,1000.0,2000.0,2000.0
273,56.2,1987/88,1.0,Girasol,6,413,1000,1000.0,1900.0,1900.0
277,56.2,1987/88,1.0,Girasol,6,462,8000,8000.0,10400.0,1300.0
278,56.2,1987/88,1.0,Girasol,6,469,33500,32000.0,57600.0,1800.0
300,56.2,1987/88,1.0,Girasol,6,686,500,500.0,1000.0,2000.0
305,56.2,1987/88,1.0,Girasol,6,714,1000,1000.0,2000.0,2000.0
369,56.2,1987/88,1.0,Lino,6,413,50,50.0,40.0,800.0
373,56.2,1987/88,1.0,Lino,6,469,100,80.0,64.0,800.0
392,56.2,1987/88,1.0,Lino,6,686,50,50.0,60.0,1200.0
395,56.2,1987/88,1.0,Lino,6,714,50,50.0,60.0,1200.0
431,56.2,1987/88,1.0,Maíz,6,210,27000,27000.0,156600.0,5800.0
462,56.2,1987/88,1.0,Maíz,6,413,26000,26000.0,137800.0,5300.0
466,56.2,1987/88,1.0,Maíz,6,462,11000,11000.0,55000.0,5000.0
467,56.2,1987/88,1.0,Maíz,6,469,26600,24800.0,106640.0,4300.0
490,56.2,1987/88,1.0,Maíz,6,686,26000,26000.0,117000.0,4500.0
495,56.2,1987/88,1.0,Maíz,6,714,32000,32000.0,166400.0,5200.0
577,56.2,1987/88,1.0,Soja total,6,210,44000,43900.0,107000.0,2437.0
597,56.2,1987/88,1.0,Soja total,6,413,52300,52100.0,117000.0,2246.0
598,56.2,1987/88,1.0,Soja total,6,462,19100,19100.0,37000.0,1937.0
599,56.2,1987/88,1.0,Soja total,6,469,25000,24750.0,51240.0,2070.0
614,56.2,1987/88,1.0,Soja total,6,686,47000,46900.0,99000.0,2111.0
617,56.2,1987/88,1.0,Soja total,6,714,65900,65700.0,163800.0,2493.0
673,56.2,1987/88,1.0,Sorgo,6,462,4000,4000.0,20000.0,5000.0
674,56.2,1987/88,1.0,Sorgo,6,469,12000,11500.0,46000.0,4000.0
695,56.2,1987/88,1.0,Sorgo,6,714,50,50.0,275.0,5500.0
740,56.2,1987/88,1.0,Trigo total,6,210,19000,19000.0,40700.0,2142.0
769,56.2,1987/88,1.0,Trigo total,6,413,28000,28000.0,58300.0,2082.0
773,56.2,1987/88,1.0,Trigo total,6,462,15300,15300.0,27700.0,1810.0
774,56.2,1987/88,1.0,Trigo total,6,469,26000,25400.0,43700.0,1720.0
796,56.2,1987/88,1.0,Trigo total,6,686,40000,40000.0,83250.0,2081.0
801,56.2,1987/88,1.0,Trigo total,6,714,49500,49500.0,104500.0,2111.0
844,32.9,1987/88,2.0,Alpiste,6,462,50,50.0,50.0,1000.0
845,32.9,1987/88,2.0,Alpiste,6,469,170,160.0,190.0,1188.0
854,32.9,1987/88,2.0,Alpiste,6,686,400,400.0,480.0,1200.0
885,32.9,1987/88,2.0,Avena,6,210,2200,0.0,0.0,0.0
915,32.9,1987/88,2.0,Avena,6,413,3500,300.0,600.0,2000.0
919,32.9,1987/88,2.0,Avena,6,462,5500,0.0,0.0,0.0
920,32.9,1987/88,2.0,Avena,6,469,16500,3000.0,4500.0,1500.0
943,32.9,1987/88,2.0,Avena,6,686,1600,200.0,440.0,2200.0
948,32.9,1987/88,2.0,Avena,6,714,1200,200.0,400.0,2000.0
983,32.9,1987/88,2.0,Cebada cervecera,6,469,1200,1200.0,2280.0,1900.0
1000,32.9,1987/88,2.0,Cebada forrajera,6,210,300,0.0,0.0,0.0
1014,32.9,1987/88,2.0,Cebada forrajera,6,413,200,0.0,0.0,0.0
1016,32.9,1987/88,2.0,Cebada forrajera,6,462,1800,0.0,0.0,0.0
1024,32.9,1987/88,2.0,Cebada forrajera,6,686,300,0.0,0.0,0.0
1027,32.9,1987/88,2.0,Cebada forrajera,6,714,300,0.0,0.0,0.0
1058,32.9,1987/88,2.0,Girasol,6,210,1000,1000.0,2000.0,2000.0
1088,32.9,1987/88,2.0,Girasol,6,413,1000,1000.0,1900.0,1900.0
1092,32.9,1987/88,2.0,Girasol,6,462,8000,8000.0,10400.0,1300.0
1093,32.9,1987/88,2.0,Girasol,6,469,33500,32000.0,57600.0,1800.0
1115,32.9,1987/88,2.0,Girasol,6,686,500,500.0,1000.0,2000.0
1120,32.9,1987/88,2.0,Girasol,6,714,1000,1000.0,2000.0,2000.0
1184,32.9,1987/88,2.0,Lino,6,413,50,50.0,40.0,800.0
1188,32.9,1987/88,2.0,Lino,6,469,100,80.0,64.0,800.0
1207,32.9,1987/88,2.0,Lino,6,686,50,50.0,60.0,1200.0
1210,32.9,1987/88,2.0,Lino,6,714,50,50.0,60.0,1200.0
1246,32.9,1987/88,2.0,Maíz,6,210,27000,27000.0,156600.0,5800.0
1277,32.9,1987/88,2.0,Maíz,6,413,26000,26000.0,137800.0,5300.0
1281,32.9,1987/88,2.0,Maíz,6,462,11000,11000.0,55000.0,5000.0
1282,32.9,1987/88,2.0,Maíz,6,469,26600,24800.0,106640.0,4300.0
1305,32.9,1987/88,2.0,Maíz,6,686,26000,26000.0,117000.0,4500.0
1310,32.9,1987/88,2.0,Maíz,6,714,32000,32000.0,166400.0,5200.0
1392,32.9,1987/88,2.0,Soja total,6,210,44000,43900.0,107000.0,2437.0
1412,32.9,1987/88,2.0,Soja total,6,413,52300,52100.0,117000.0,2246.0
1413,32.9,1987/88,2.0,Soja total,6,462,19100,19100.0,37000.0,1937.0
1414,32.9,1987/88,2.0,Soja total,6,469,25000,24750.0,51240.0,2070.0
1429,32.9,1987/88,2.0,Soja total,6,686,47000,46900.0,99000.0,2111.0
1432,32.9,1987/88,2.0,Soja total,6,714,65900,65700.0,163800.0,2493.0
1488,32.9,1987/88,2.0,Sorgo,6,462,4000,4000.0,20000.0,5000.0
1489,32.9,1987/88,2.0,Sorgo,6,469,12000,11500.0,46000.0,4000.0
1510,32.9,1987/88,2.0,Sorgo,6,714,50,50.0,275.0,5500.0
1555,32.9,1987/88,2.0,Trigo total,6,210,19000,19000.0,40700.0,2142.0
1584,32.9,1987/88,2.0,Trigo total,6,413,28000,28000.0,58300.0,2082.0
1588,32.9,1987/88,2.0,Trigo total,6,462,15300,15300.0,27700.0,1810.0
1589,32.9,1987/88,2.0,Trigo total,6,469,26000,25400.0,43700.0,1720.0
1611,32.9,1987/88,2.0,Trigo total,6,686,40000,40000.0,83250.0,2081.0
1616,32.9,1987/88,2.0,Trigo total,6,714,49500,49500.0,104500.0,2111.0
1659,283.0,1987/88,3.0,Alpiste,6,462,50,50.0,50.0,1000.0
1660,283.0,1987/88,3.0,Alpiste,6,469,170,160.0,190.0,1188.0
1669,283.0,1987/88,3.0,Alpiste,6,686,400,400.0,480.0,1200.0
1700,283.0,1987/88,3.0,Avena,6,210,2200,0.0,0.0,0.0
1730,283.0,1987/88,3.0,Avena,6,413,3500,300.0,600.0,2000.0
1734,283.0,1987/88,3.0,Avena,6,462,5500,0.0,0.0,0.0
1735,283.0,1987/88,3.0,Avena,6,469,16500,3000.0,4500.0,1500.0
1758,283.0,1987/88,3.0,Avena,6,686,1600,200.0,440.0,2200.0
1763,283.0,1987/88,3.0,Avena,6,714,1200,200.0,400.0,2000.0
1798,283.0,1987/88,3.0,Cebada cervecera,6,469,1200,1200.0,2280.0,1900.0
1815,283.0,1987/88,3.0,Cebada forrajera,6,210,300,0.0,0.0,0.0
1829,283.0,1987/88,3.0,Cebada forrajera,6,413,200,0.0,0.0,0.0
1831,283.0,1987/88,3.0,Cebada forrajera,6,462,1800,0.0,0.0,0.0
1839,283.0,1987/88,3.0,Cebada forrajera,6,686,300,0.0,0.0,0.0
1842,283.0,1987/88,3.0,Cebada forrajera,6,714,300,0.0,0.0,0.0
1873,283.0,1987/88,3.0,Girasol,6,210,1000,1000.0,2000.0,2000.0
1903,283.0,1987/88,3.0,Girasol,6,413,1000,1000.0,1900.0,1900.0
1907,283.0,1987/88,3.0,Girasol,6,462,8000,8000.0,10400.0,1300.0
1908,283.0,1987/88,3.0,Girasol,6,469,33500,32000.0,57600.0,1800.0
1930,283.0,1987/88,3.0,Girasol,6,686,500,500.0,1000.0,2000.0
1935,283.0,1987/88,3.0,Girasol,6,714,1000,1000.0,2000.0,2000.0
1999,283.0,1987/88,3.0,Lino,6,413,50,50.0,40.0,800.0
2003,283.0,1987/88,3.0,Lino,6,469,100,80.0,64.0,800.0
2022,283.0,1987/88,3.0,Lino,6,686,50,50.0,60.0,1200.0
2025,283.0,1987/88,3.0,Lino,6,714,50,50.0,60.0,1200.0
2061,283.0,1987/88,3.0,Maíz,6,210,27000,27000.0,156600.0,5800.0
2092,283.0,1987/88,3.0,Maíz,6,413,26000,26000.0,137800.0,5300.0
2096,283.0,1987/88,3.0,Maíz,6,462,11000,11000.0,55000.0,5000.0
2097,283.0,1987/88,3.0,Maíz,6,469,26600,24800.0,106640.0,4300.0
2120,283.0,1987/88,3.0,Maíz,6,686,26000,26000.0,117000.0,4500.0
2125,283.0,1987/88,3.0,Maíz,6,714,32000,32000.0,166400.0,5200.0
2207,283.0,1987/88,3.0,Soja total,6,210,44000,43900.0,107000.0,2437.0
2227,283.0,1987/88,3.0,Soja total,6,413,52300,52100.0,117000.0,2246.0
2228,283.0,1987/88,3.0,Soja total,6,462,19100,19100.0,37000.0,1937.0
2229,283.0,1987/88,3.0,Soja total,6,469,25000,24750.0,51240.0,2070.0
2244,283.0,1987/88,3.0,Soja total,6,686,47000,46900.0,99000.0,2111.0
2247,283.0,1987/88,3.0,Soja total,6,714,65900,65700.0,163800.0,2493.0
2303,283.0,1987/88,3.0,Sorgo,6,462,4000,4000.0,20000.0,5000.0
2304,283.0,1987/88,3.0,Sorgo,6,469,12000,11500.0,46000.0,4000.0
2325,283.0,1987/88,3.0,Sorgo,6,714,50,50.0,275.0,5500.0
2370,283.0,1987/88,3.0,Trigo total,6,210,19000,19000.0,40700.0,2142.0
2399,283.0,1987/88,3.0,Trigo total,6,413,28000,28000.0,58300.0,2082.0
2403,283.0,1987/88,3.0,Trigo total,6,462,15300,15300.0,27700.0,1810.0
2404,283.0,1987/88,3.0,Trigo total,6,469,26000,25400.0,43700.0,1720.0
2426,283.0,1987/88,3.0,Trigo total,6,686,40000,40000.0,83250.0,2081.0
2431,283.0,1987/88,3.0,Trigo total,6,714,49500,49500.0,104500.0,2111.0
2474,54.7,1987/88,4.0,Alpiste,6,462,50,50.0,50.0,1000.0
2475,54.7,1987/88,4.0,Alpiste,6,469,170,160.0,190.0,1188.0
2484,54.7,1987/88,4.0,Alpiste,6,686,400,400.0,480.0,1200.0
2515,54.7,1987/88,4.0,Avena,6,210,2200,0.0,0.0,0.0
2545,54.7,1987/88,4.0,Avena,6,413,3500,300.0,600.0,2000.0
2549,54.7,1987/88,4.0,Avena,6,462,5500,0.0,0.0,0.0
2550,54.7,1987/88,4.0,Avena,6,469,16500,3000.0,4500.0,1500.0
2573,54.7,1987/88,4.0,Avena,6,686,1600,200.0,440.0,2200.0
2578,54.7,1987/88,4.0,Avena,6,714,1200,200.0,400.0,2000.0
2613,54.7,1987/88,4.0,Cebada cervecera,6,469,1200,1200.0,2280.0,1900.0
2630,54.7,1987/88,4.0,Cebada forrajera,6,210,300,0.0,0.0,0.0
2644,54.7,1987/88,4.0,Cebada forrajera,6,413,200,0.0,0.0,0.0
2646,54.7,1987/88,4.0,Cebada forrajera,6,462,1800,0.0,0.0,0.0
2654,54.7,1987/88,4.0,Cebada forrajera,6,686,300,0.0,0.0,0.0
2657,54.7,1987/88,4.0,Cebada forrajera,6,714,300,0.0,0.0,0.0
2688,54.7,1987/88,4.0,Girasol,6,210,1000,1000.0,2000.0,2000.0
2718,54.7,1987/88,4.0,Girasol,6,413,1000,1000.0,1900.0,1900.0
2722,54.7,1987/88,4.0,Girasol,6,462,8000,8000.0,10400.0,1300.0
2723,54.7,1987/88,4.0,Girasol,6,469,33500,32000.0,57600.0,1800.0
2745,54.7,1987/88,4.0,Girasol,6,686,500,500.0,1000.0,2000.0
2750,54.7,1987/88,4.0,Girasol,6,714,1000,1000.0,2000.0,2000.0
2814,54.7,1987/88,4.0,Lino,6,413,50,50.0,40.0,800.0
2818,54.7,1987/88,4.0,Lino,6,469,100,80.0,64.0,800.0
2837,54.7,1987/88,4.0,Lino,6,686,50,50.0,60.0,1200.0
2840,54.7,1987/88,4.0,Lino,6,714,50,50.0,60.0,1200.0
2876,54.7,1987/88,4.0,Maíz,6,210,27000,27000.0,156600.0,5800.0
2907,54.7,1987/88,4.0,Maíz,6,413,26000,26000.0,137800.0,5300.0
2911,54.7,1987/88,4.0,Maíz,6,462,11000,11000.0,55000.0,5000.0
2912,54.7,1987/88,4.0,Maíz,6,469,26600,24800.0,106640.0,4300.0
2935,54.7,1987/88,4.0,Maíz,6,686,26000,26000.0,117000.0,4500.0
2940,54.7,1987/88,4.0,Maíz,6,714,32000,32000.0,166400.0,5200.0
3022,54.7,1987/88,4.0,Soja total,6,210,44000,43900.0,107000.0,2437.0
3042,54.7,1987/88,4.0,Soja total,6,413,52300,52100.0,117000.0,2246.0
3043,54.7,1987/88,4.0,Soja total,6,462,19100,19100.0,37000.0,1937.0
3044,54.7,1987/88,4.0,Soja total,6,469,25000,24750.0,51240.0,2070.0
3059,54.7,1987/88,4.0,Soja total,6,686,47000,46900.0,99000.0,2111.0
3062,54.7,1987/88,4.0,Soja total,6,714,65900,65700.0,163800.0,2493.0
3118,54.7,1987/88,4.0,Sorgo,6,462,4000,4000.0,20000.0,5000.0
3119,54.7,1987/88,4.0,Sorgo,6,469,12000,11500.0,46000.0,4000.0
3140,54.7,1987/88,4.0,Sorgo,6,714,50,50.0,275.0,5500.0
3185,54.7,1987/88,4.0,Trigo total,6,210,19000,19000.0,40700.0,2142.0
3214,54.7,1987/88,4.0,Trigo total,6,413,28000,28000.0,58300.0,2082.0
3218,54.7,1987/88,4.0,Trigo total,6,462,15300,15300.0,27700.0,1810.0
3219,54.7,1987/88,4.0,Trigo total,6,469,26000,25400.0,43700.0,1720.0
3241,54.7,1987/88,4.0,Trigo total,6,686,40000,40000.0,83250.0,2081.0
3246,54.7,1987/88,4.0,Trigo total,6,714,49500,49500.0,104500.0,2111.0
3289,0.5,1987/88,5.0,Alpiste,6,462,50,50.0,50.0,1000.0
3290,0.5,1987/88,5.0,Alpiste,6,469,170,160.0,190.0,1188.0
3299,0.5,1987/88,5.0,Alpiste,6,686,400,400.0,480.0,1200.0
3330,0.5,1987/88,5.0,Avena,6,210,2200,0.0,0.0,0.0
3360,0.5,1987/88,5.0,Avena,6,413,3500,300.0,600.0,2000.0
3364,0.5,1987/88,5.0,Avena,6,462,5500,0.0,0.0,0.0
3365,0.5,1987/88,5.0,Avena,6,469,16500,3000.0,4500.0,1500.0
3388,0.5,1987/88,5.0,Avena,6,686,1600,200.0,440.0,2200.0
3393,0.5,1987/88,5.0,Avena,6,714,1200,200.0,400.0,2000.0
3428,0.5,1987/88,5.0,Cebada cervecera,6,469,1200,1200.0,2280.0,1900.0
3445,0.5,1987/88,5.0,Cebada forrajera,6,210,300,0.0,0.0,0.0
3459,0.5,1987/88,5.0,Cebada forrajera,6,413,200,0.0,0.0,0.0
3461,0.5,1987/88,5.0,Cebada forrajera,6,462,1800,0.0,0.0,0.0
3469,0.5,1987/88,5.0,Cebada forrajera,6,686,300,0.0,0.0,0.0
3472,0.5,1987/88,5.0,Cebada forrajera,6,714,300,0.0,0.0,0.0
3503,0.5,1987/88,5.0,Girasol,6,210,1000,1000.0,2000.0,2000.0
3533,0.5,1987/88,5.0,Girasol,6,413,1000,1000.0,1900.0,1900.0
3537,0.5,1987/88,5.0,Girasol,6,462,8000,8000.0,10400.0,1300.0
3538,0.5,1987/88,5.0,Girasol,6,469,33500,32000.0,57600.0,1800.0
3560,0.5,1987/88,5.0,Girasol,6,686,500,500.0,1000.0,2000.0
3565,0.5,1987/88,5.0,Girasol,6,714,1000,1000.0,2000.0,2000.0
3629,0.5,1987/88,5.0,Lino,6,413,50,50.0,40.0,800.0
3633,0.5,1987/88,5.0,Lino,6,469,100,80.0,64.0,800.0
3652,0.5,1987/88,5.0,Lino,6,686,50,50.0,60.0,1200.0
3655,0.5,1987/88,5.0,Lino,6,714,50,50.0,60.0,1200.0
3691,0.5,1987/88,5.0,Maíz,6,210,27000,27000.0,156600.0,5800.0
3722,0.5,1987/88,5.0,Maíz,6,413,26000,26000.0,137800.0,5300.0
3726,0.5,1987/88,5.0,Maíz,6,462,11000,11000.0,55000.0,5000.0
3727,0.5,1987/88,5.0,Maíz,6,469,26600,24800.0,106640.0,4300.0
3750,0.5,1987/88,5.0,Maíz,6,686,26000,26000.0,117000.0,4500.0
3755,0.5,1987/88,5.0,Maíz,6,714,32000,32000.0,166400.0,5200.0
3837,0.5,1987/88,5.0,Soja total,6,210,44000,43900.0,107000.0,2437.0
3857,0.5,1987/88,5.0,Soja total,6,413,52300,52100.0,117000.0,2246.0
3858,0.5,1987/88,5.0,Soja total,6,462,19100,19100.0,37000.0,1937.0
3859,0.5,1987/88,5.0,Soja total,6,469,25000,24750.0,51240.0,2070.0
3874,0.5,1987/88,5.0,Soja total,6,686,47000,46900.0,99000.0,2111.0
3877,0.5,1987/88,5.0,Soja total,6,714,65900,65700.0,163800.0,2493.0
3933,0.5,1987/88,5.0,Sorgo,6,462,4000,4000.0,20000.0,5000.0
3934,0.5,1987/88,5.0,Sorgo,6,469,12000,11500.0,46000.0,4000.0
3955,0.5,1987/88,5.0,Sorgo,6,714,50,50.0,275.0,5500.0
4000,0.5,1987/88,5.0,Trigo total,6,210,19000,19000.0,40700.0,2142.0
4029,0.5,1987/88,5.0,Trigo total,6,413,28000,28000.0,58300.0,2082.0
4033,0.5,1987/88,5.0,Trigo total,6,462,15300,15300.0,27700.0,1810.0
4034,0.5,1987/88,5.0,Trigo total,6,469,26000,25400.0,43700.0,1720.0
4056,0.5,1987/88,5.0,Trigo total,6,686,40000,40000.0,83250.0,2081.0
4061,0.5,1987/88,5.0,Trigo total,6,714,49500,49500.0,104500.0,2111.0
4104,11.6,1987/88,6.0,Alpiste,6,462,50,50.0,50.0,1000.0
4105,11.6,1987/88,6.0,Alpiste,6,469,170,160.0,190.0,1188.0
4114,11.6,1987/88,6.0,Alpiste,6,686,400,400.0,480.0,1200.0
4145,11.6,1987/88,6.0,Avena,6,210,2200,0.0,0.0,0.0
4175,11.6,1987/88,6.0,Avena,6,413,3500,300.0,600.0,2000.0
4179,11.6,1987/88,6.0,Avena,6,462,5500,0.0,0.0,0.0
4180,11.6,1987/88,6.0,Avena,6,469,16500,3000.0,4500.0,1500.0
4203,11.6,1987/88,6.0,Avena,6,686,1600,200.0,440.0,2200.0
4208,11.6,1987/88,6.0,Avena,6,714,1200,200.0,400.0,2000.0
4243,11.6,1987/88,6.0,Cebada cervecera,6,469,1200,1200.0,2280.0,1900.0
4260,11.6,1987/88,6.0,Cebada forrajera,6,210,300,0.0,0.0,0.0
4274,11.6,1987/88,6.0,Cebada forrajera,6,413,200,0.0,0.0,0.0
4276,11.6,1987/88,6.0,Cebada forrajera,6,462,1800,0.0,0.0,0.0
4284,11.6,1987/88,6.0,Cebada forrajera,6,686,300,0.0,0.0,0.0
4287,11.6,1987/88,6.0,Cebada forrajera,6,714,300,0.0,0.0,0.0
4318,11.6,1987/88,6.0,Girasol,6,210,1000,1000.0,2000.0,2000.0
4348,11.6,1987/88,6.0,Girasol,6,413,1000,1000.0,1900.0,1900.0
4352,11.6,1987/88,6.0,Girasol,6,462,8000,8000.0,10400.0,1300.0
4353,11.6,1987/88,6.0,Girasol,6,469,33500,32000.0,57600.0,1800.0
4375,11.6,1987/88,6.0,Girasol,6,686,500,500.0,1000.0,2000.0
4380,11.6,1987/88,6.0,Girasol,6,714,1000,1000.0,2000.0,2000.0
4444,11.6,1987/88,6.0,Lino,6,413,50,50.0,40.0,800.0
4448,11.6,1987/88,6.0,Lino,6,469,100,80.0,64.0,800.0
4467,11.6,1987/88,6.0,Lino,6,686,50,50.0,60.0,1200.0
4470,11.6,1987/88,6.0,Lino,6,714,50,50.0,60.0,1200.0
4506,11.6,1987/88,6.0,Maíz,6,210,27000,27000.0,156600.0,5800.0
4537,11.6,1987/88,6.0,Maíz,6,413,26000,26000.0,137800.0,5300.0
4541,11.6,1987/88,6.0,Maíz,6,462,11000,11000.0,55000.0,5000.0
4542,11.6,1987/88,6.0,Maíz,6,469,26600,24800.0,106640.0,4300.0
4565,11.6,1987/88,6.0,Maíz,6,686,26000,26000.0,117000.0,4500.0
4570,11.6,1987/88,6.0,Maíz,6,714,32000,32000.0,166400.0,5200.0
4652,11.6,1987/88,6.0,Soja total,6,210,44000,43900.0,107000.0,2437.0
4672,11.6,1987/88,6.0,Soja total,6,413,52300,52100.0,117000.0,2246.0
4673,11.6,1987/88,6.0,Soja total,6,462,19100,19100.0,37000.0,1937.0
4674,11.6,1987/88,6.0,Soja total,6,469,25000,24750.0,51240.0,2070.0
4689,11.6,1987/88,6.0,Soja total,6,686,47000,46900.0,99000.0,2111.0
4692,11.6,1987/88,6.0,Soja total,6,714,65900,65700.0,163800.0,2493.0
4748,11.6,1987/88,6.0,Sorgo,6,462,4000,4000.0,20000.0,5000.0
4749,11.6,1987/88,6.0,Sorgo,6,469,12000,11500.0,46000.0,4000.0
4770,11.6,1987/88,6.0,Sorgo,6,714,50,50.0,275.0,5500.0
4815,11.6,1987/88,6.0,Trigo total,6,210,19000,19000.0,40700.0,2142.0
4844,11.6,1987/88,6.0,Trigo total,6,413,28000,28000.0,58300.0,2082.0
4848,11.6,1987/88,6.0,Trigo total,6,462,15300,15300.0,27700.0,1810.0
4849,11.6,1987/88,6.0,Trigo total,6,469,26000,25400.0,43700.0,1720.0
4871,11.6,1987/88,6.0,Trigo total,6,686,40000,40000.0,83250.0,2081.0
4876,11.6,1987/88,6.0,Trigo total,6,714,49500,49500.0,104500.0,2111.0
4919,36.5,1987/88,7.0,Alpiste,6,462,50,50.0,50.0,1000.0
4920,36.5,1987/88,7.0,Alpiste,6,469,170,160.0,190.0,1188.0
4929,36.5,1987/88,7.0,Alpiste,6,686,400,400.0,480.0,1200.0
4960,36.5,1987/88,7.0,Avena,6,210,2200,0.0,0.0,0.0
4990,36.5,1987/88,7.0,Avena,6,413,3500,300.0,600.0,2000.0
4994,36.5,1987/88,7.0,Avena,6,462,5500,0.0,0.0,0.0
4995,36.5,1987/88,7.0,Avena,6,469,16500,3000.0,4500.0,1500.0
5018,36.5,1987/88,7.0,Avena,6,686,1600,200.0,440.0,2200.0
5023,36.5,1987/88,7.0,Avena,6,714,1200,200.0,400.0,2000.0
5058,36.5,1987/88,7.0,Cebada cervecera,6,469,1200,1200.0,2280.0,1900.0
5075,36.5,1987/88,7.0,Cebada forrajera,6,210,300,0.0,0.0,0.0
5089,36.5,1987/88,7.0,Cebada forrajera,6,413,200,0.0,0.0,0.0
5091,36.5,1987/88,7.0,Cebada forrajera,6,462,1800,0.0,0.0,0.0
5099,36.5,1987/88,7.0,Cebada forrajera,6,686,300,0.0,0.0,0.0
5102,36.5,1987/88,7.0,Cebada forrajera,6,714,300,0.0,0.0,0.0
5133,36.5,1987/88,7.0,Girasol,6,210,1000,1000.0,2000.0,2000.0
5163,36.5,1987/88,7.0,Girasol,6,413,1000,1000.0,1900.0,1900.0
5167,36.5,1987/88,7.0,Girasol,6,462,8000,8000.0,10400.0,1300.0
5168,36.5,1987/88,7.0,Girasol,6,469,33500,32000.0,57600.0,1800.0
5190,36.5,1987/88,7.0,Girasol,6,686,500,500.0,1000.0,2000.0
5195,36.5,1987/88,7.0,Girasol,6,714,1000,1000.0,2000.0,2000.0
5259,36.5,1987/88,7.0,Lino,6,413,50,50.0,40.0,800.0
5263,36.5,1987/88,7.0,Lino,6,469,100,80.0,64.0,800.0
5282,36.5,1987/88,7.0,Lino,6,686,50,50.0,60.0,1200.0
5285,36.5,1987/88,7.0,Lino,6,714,50,50.0,60.0,1200.0
5321,36.5,1987/88,7.0,Maíz,6,210,27000,27000.0,156600.0,5800.0
5352,36.5,1987/88,7.0,Maíz,6,413,26000,26000.0,137800.0,5300.0
5356,36.5,1987/88,7.0,Maíz,6,462,11000,11000.0,55000.0,5000.0
5357,36.5,1987/88,7.0,Maíz,6,469,26600,24800.0,106640.0,4300.0
5380,36.5,1987/88,7.0,Maíz,6,686,26000,26000.0,117000.0,4500.0
5385,36.5,1987/88,7.0,Maíz,6,714,32000,32000.0,166400.0,5200.0
5467,36.5,1987/88,7.0,Soja total,6,210,44000,43900.0,107000.0,2437.0
5487,36.5,1987/88,7.0,Soja total,6,413,52300,52100.0,117000.0,2246.0
5488,36.5,1987/88,7.0,Soja total,6,462,19100,19100.0,37000.0,1937.0
5489,36.5,1987/88,7.0,Soja total,6,469,25000,24750.0,51240.0,2070.0
5504,36.5,1987/88,7.0,Soja total,6,686,47000,46900.0,99000.0,2111.0
5507,36.5,1987/88,7.0,Soja total,6,714,65900,65700.0,163800.0,2493.0
5563,36.5,1987/88,7.0,Sorgo,6,462,4000,4000.0,20000.0,5000.0
5564,36.5,1987/88,7.0,Sorgo,6,469,12000,11500.0,46000.0,4000.0
5585,36.5,1987/88,7.0,Sorgo,6,714,50,50.0,275.0,5500.0
5630,36.5,1987/88,7.0,Trigo total,6,210,19000,19000.0,40700.0,2142.0
5659,36.5,1987/88,7.0,Trigo total,6,413,28000,28000.0,58300.0,2082.0
5663,36.5,1987/88,7.0,Trigo total,6,462,15300,15300.0,27700.0,1810.0
5664,36.5,1987/88,7.0,Trigo total,6,469,26000,25400.0,43700.0,1720.0
5686,36.5,1987/88,7.0,Trigo total,6,686,40000,40000.0,83250.0,2081.0
5691,36.5,1987/88,7.0,Trigo total,6,714,49500,49500.0,104500.0,2111.0
5723,2.0,1988/89,8.0,Alpiste,6,462,50,50.0,70.0,1400.0
5724,2.0,1988/89,8.0,Alpiste,6,469,150,130.0,190.0,1462.0
5733,2.0,1988/89,8.0,Alpiste,6,686,200,200.0,300.0,1500.0
5747,2.0,1988/89,8.0,Cebada cervecera,6,210,440,440.0,1350.0,3068.0
5758,2.0,1988/89,8.0,Cebada cervecera,6,413,60,60.0,150.0,2500.0
5759,2.0,1988/89,8.0,Cebada cervecera,6,462,2500,2500.0,7000.0,2800.0
5760,2.0,1988/89,8.0,Cebada cervecera,6,469,1100,1000.0,2200.0,2200.0
5819,2.0,1988/89,8.0,Centeno,6,462,1000,0.0,0.0,0.0
