Cultivo;Campaña;Provincia;Departamento;idProvincia;idDepartamento;Sup. Sembrada;Sup. Cosechada;Producción;Rendimiento;Precipitaciones
Girasol;2000/01;BUENOS AIRES;JUNIN;6;413;2000;2000;2400;1200;1094
Maíz;2000/01;BUENOS AIRES;JUNIN;6;413;25000;22500;162000;7200;1094
Soja 1ra;2000/01;BUENOS AIRES;JUNIN;6;413;30000;29600;88800;3000;1094
Soja 2da;2000/01;BUENOS AIRES;JUNIN;6;413;50000;47000;103400;2200;1094
Soja total;2000/01;BUENOS AIRES;JUNIN;6;413;80000;76600;192200;2509;1094
Trigo total;2000/01;BUENOS AIRES;JUNIN;6;413;40000;40000;120000;3000;1094
