Cultivo;Campaña;Provincia;Departamento;idProvincia;idDepartamento;Sup. Sembrada;Sup. Cosechada;Producción;Rendimiento;Precipitaciones
Girasol;2000/01;BUENOS AIRES;JUNIN;6;413;2000;2000;2400;1200;1094
Girasol;2001/02;BUENOS AIRES;JUNIN;6;413;500;500;1000;2000;1262
Girasol;2002/03;BUENOS AIRES;JUNIN;6;413;300;300;690;2300;1218
Girasol;2004/05;BUENOS AIRES;JUNIN;6;413;500;500;1300;2600;562
Girasol;2005/06;BUENOS AIRES;JUNIN;6;413;500;500;1400;2800;440
